sex,age,Length,L,M,S
1,60,85.5,-0.3521,11.7937,0.08138
1,60,86,-0.3521,11.9173,0.08121
1,60,86.5,-0.3521,12.0411,0.08105
1,60,87,-0.3521,12.1645,0.0809
1,60,87.5,-0.3521,12.2871,0.08076
1,60,88,-0.3521,12.4089,0.08064
1,60,88.5,-0.3521,12.5298,0.08054
1,60,89,-0.3521,12.6495,0.08045
1,60,89.5,-0.3521,12.7683,0.08038
1,60,90,-0.3521,12.8864,0.08032
1,60,90.5,-0.3521,13.0038,0.08028
1,60,91,-0.3521,13.1209,0.08025
1,60,91.5,-0.3521,13.2376,0.08024
1,60,92,-0.3521,13.3541,0.08025
1,60,92.5,-0.3521,13.4705,0.08027
1,60,93,-0.3521,13.587,0.08031
1,60,93.5,-0.3521,13.7041,0.08036
1,60,94,-0.3521,13.8217,0.08043
1,60,94.5,-0.3521,13.9403,0.08051
1,60,95,-0.3521,14.06,0.0806
1,60,95.5,-0.3521,14.1811,0.08071
1,60,96,-0.3521,14.3037,0.08083
1,60,96.5,-0.3521,14.4282,0.08097
1,60,97,-0.3521,14.5547,0.08112
1,60,97.5,-0.3521,14.6832,0.08129
1,60,98,-0.3521,14.814,0.08146
1,60,98.5,-0.3521,14.9468,0.08165
1,60,99,-0.3521,15.0818,0.08185
1,60,99.5,-0.3521,15.2187,0.08206
1,60,100,-0.3521,15.3576,0.08229
1,60,100.5,-0.3521,15.4985,0.08252
1,60,101,-0.3521,15.6412,0.08277
1,60,101.5,-0.3521,15.7857,0.08302
1,60,102,-0.3521,15.932,0.08328
1,60,102.5,-0.3521,16.0801,0.08354
1,60,103,-0.3521,16.2298,0.08381
1,60,103.5,-0.3521,16.3812,0.08408
1,60,104,-0.3521,16.5342,0.08436
1,60,104.5,-0.3521,16.6889,0.08464
1,60,105,-0.3521,16.8454,0.08493
1,60,105.5,-0.3521,17.0036,0.08521
1,60,106,-0.3521,17.1637,0.08551
1,60,106.5,-0.3521,17.3256,0.0858
1,60,107,-0.3521,17.4894,0.08611
1,60,107.5,-0.3521,17.655,0.08641
1,60,108,-0.3521,17.8226,0.08673
1,60,108.5,-0.3521,17.9924,0.08704
1,60,109,-0.3521,18.1645,0.08736
1,60,109.5,-0.3521,18.339,0.08768
1,60,110,-0.3521,18.5158,0.088
1,60,110.5,-0.3521,18.6948,0.08832
1,60,111,-0.3521,18.8759,0.08864
1,60,111.5,-0.3521,19.059,0.08896
1,60,112,-0.3521,19.2439,0.08928
1,60,112.5,-0.3521,19.4304,0.0896
1,60,113,-0.3521,19.6185,0.08991
1,60,113.5,-0.3521,19.8081,0.09022
1,60,114,-0.3521,19.999,0.09054
1,60,114.5,-0.3521,20.1912,0.09085
1,60,115,-0.3521,20.3846,0.09116
1,60,115.5,-0.3521,20.5789,0.09147
1,60,116,-0.3521,20.7741,0.09177
1,60,116.5,-0.3521,20.97,0.09208
1,60,117,-0.3521,21.1666,0.09239
1,60,117.5,-0.3521,21.3636,0.0927
1,60,118,-0.3521,21.5611,0.093
1,60,118.5,-0.3521,21.7588,0.09331
1,60,119,-0.3521,21.9568,0.09362
1,60,119.5,-0.3521,22.1549,0.09393
1,60,120,-0.3521,22.353,0.09424
